15-01-2024 16:12:22, Thread 31, O Utilizador Miguel autenticou-se.
15-01-2024 16:12:30, Thread 42, O Utilizador Miguel enviou uma mensagem.
15-01-2024 16:14:40, Thread 43, O Utilizador Miguel acedeu ao satélite.
15-01-2024 16:16:51, Thread 31, O Utilizador Miguel autenticou-se.
15-01-2024 16:16:53, Thread 31, O Utilizador Miguel acedeu ao satélite.
15-01-2024 16:19:16, Thread 43, O Utilizador Miguel acedeu às logs.
15-01-2024 16:21:25, Thread 31, O Utilizador Miguel autenticou-se.
15-01-2024 16:21:26, Thread 31, O Utilizador Miguel acedeu ao satélite.
15-01-2024 16:21:49, Thread 31, O Utilizador Miguel autenticou-se.
15-01-2024 16:21:50, Thread 31, O Utilizador Miguel acedeu ao satélite.
15-01-2024 16:22:00, Thread 31, O Utilizador Miguel acedeu às logs.
15-01-2024 16:22:18, Thread 31, O Utilizador Miguel acedeu às logs.
15-01-2024 16:22:20, Thread 31, O Utilizador Miguel acedeu ao gráfico.
15-01-2024 16:22:38, Thread 31, O Utilizador Miguel acedeu ao gráfico.
15-01-2024 16:24:09, Thread 31, O Utilizador Miguel autenticou-se.
15-01-2024 16:24:11, Thread 42, O Utilizador Miguel enviou uma mensagem.
15-01-2024 16:24:25, Thread 31, O Utilizador Miguel enviou uma mensagem.
15-01-2024 16:24:28, Thread 42, O Utilizador Miguel enviou uma mensagem.
15-01-2024 16:24:49, Thread 31, O Utilizador Diogo autenticou-se.
15-01-2024 16:24:55, Thread 42, O Utilizador Diogo enviou uma mensagem.
15-01-2024 16:24:58, Thread 31, O Utilizador Diogo enviou uma mensagem.
15-01-2024 16:25:11, Thread 31, O Utilizador Teste autenticou-se.
15-01-2024 16:25:12, Thread 31, O Utilizador Teste acedeu ao satélite.
15-01-2024 16:25:16, Thread 31, O Utilizador Teste acedeu ao gráfico.
15-01-2024 16:25:22, Thread 31, O Utilizador Teste acedeu às logs.
15-01-2024 16:26:11, Thread 31, O Utilizador Teste acedeu ao gráfico.
15-01-2024 16:26:17, Thread 31, O Utilizador Teste desconectou-se do satélite.
